Mileage	Price	Make	Model	Trim	Type	Cyl	Liter	Doors	Cruise	Sound	Leather
8221	17314.10313	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	1	1
9135	17542.03608	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	1	0
13196	16218.84786	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	1	0
16342	16336.91314	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	0	0
19832	16339.17032	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	0	1
22236	15709.05282	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	1	0
22576	15230.00339	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	1	0
22964	15048.04218	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	1	0
24021	14862.09387	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	0	1
27325	15295.01827	Buick	Century	Sedan 4D	Sedan	6	3.1	4	1	1	1
10237	21335.85248	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	0	0
15066	20538.08751	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	1	0
16633	20512.09409	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	1	0
19800	19924.15905	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	1	1
23359	19774.24907	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	1	1
23765	19344.16554	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	1	0
24008	19105.13012	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	0	0
26034	18543.42705	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	1	1
32896	17808.199	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	1	0
34665	17968.83828	Buick	Lacrosse	CX Sedan 4D	Sedan	6	3.6	4	1	1	1
8970	22358.87768	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	1	0
10577	23785.92253	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	1	1
14363	22926.09037	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	1	1
16508	21895.75878	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	0	1
18908	21273.06171	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	0	0
19467	21460.01395	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	0	1
21394	21183.12359	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	0	0
22596	20406.0995	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	0	0
24469	21058.13958	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	1	1
25245	19556.89932	Buick	Lacrosse	CXL Sedan 4D	Sedan	6	3.6	4	1	0	0
15755	23447.68656	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	1	0
16235	23547.23944	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	1	0
18147	23016.00801	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	1	1
22102	22230.0275	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	0	1
23612	22625.07357	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	0	1
24439	21799.1721	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	0	0
